"event";"experiment time";"system time";"system time text"
"START";0,000000000E0;1706526426,596;"2024-01-29 13:07:06.596 UTC+02:00"
"PAUSE";6,811469346E1;1706526494,711;"2024-01-29 13:08:14.711 UTC+02:00"
