"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.975361150E-1,1.867198467E0,-1.976167679E0,-1.867523193E-1,2.725168846E0
5.055012030E-1,5.455412865E-1,-3.273590326E0,2.030735016E-1,3.324943273E0
5.133747380E-1,2.061254501E0,-2.422534466E0,-1.300369740E0,3.436335958E0
5.212482730E-1,3.565587044E0,-1.578265667E0,-3.017629862E0,4.930560157E0
5.291828440E-1,4.922779083E0,-1.442491531E0,-5.866993904E0,7.793340310E0
5.370563790E-1,3.045356274E0,-2.746073484E0,-5.031575203E0,6.490906211E0
5.449909490E-1,1.509917736E0,-3.024176598E0,-3.056975365E0,4.557476719E0
5.528644840E-1,1.206018448E0,-2.237716198E0,-2.185591936E0,3.352412026E0
5.607380190E-1,2.483853340E0,-8.860197067E-1,-2.791472435E0,3.840166232E0
5.687336250E-1,1.940289974E0,6.741957664E-1,1.149415207E1,1.167624927E1
5.766987130E-1,2.741569042E0,-2.321407795E-1,-1.057038116E1,1.092259347E1
5.847248360E-1,3.086926937E0,4.567861557E-2,5.601143360E0,6.395624394E0
5.925983710E-1,1.628850937E0,-1.849178553E0,2.739037991E0,3.684419331E0
6.005024240E-1,1.540530682E0,-1.575813532E0,-2.537131310E-1,2.218286145E0
6.084369940E-1,1.332160473E0,-1.328999043E0,-3.911072254E0,4.340204622E0
6.163410470E-1,8.490209579E-1,-1.771480441E0,-4.493106842E0,4.903772898E0
6.242450990E-1,-3.742537498E-1,-1.984004378E0,-2.958275795E0,3.581582740E0
6.321491520E-1,-2.773933411E-1,-1.655068994E0,-2.082988262E0,2.674890753E0
6.400226870E-1,-6.828780174E-1,-1.800445437E0,-4.145956039E-2,1.926043887E0
6.479572580E-1,-1.154002666E0,-1.996783853E0,-3.446540833E-1,2.331877858E0
6.558613100E-1,-1.228517056E0,-1.961176157E0,-1.136150360E-1,2.316975281E0
6.637958810E-1,-7.029476166E-1,-2.059060097E0,-3.369746208E-1,2.201684748E0
6.716694160E-1,-1.155705452E-1,-2.076682806E0,-8.538584709E-1,2.248342126E0
6.795734690E-1,-1.241579056E-1,-1.302461863E0,-7.965126038E-1,1.531748810E0
6.875385560E-1,-6.323342323E-1,-1.795165777E0,-1.079966068E0,2.188331204E0
6.954426090E-1,-1.583874226E0,-2.042483807E0,-9.733862877E-1,2.761861424E0
