,seconds_elapsed,z,y,x
3,565879340E-1;2,261837423E-1;3,346168995E-1;-4,778938293E-1;6,257076528E-1
3,615918400E-1;5,434580147E-2;3,416138887E-1;-2,394313812E-1;4,206909809E-1
3,665966320E-1;-9,910438955E-2;2,801028490E-1;3,493499756E-2;2,991650717E-1
3,716014230E-1;-2,023872882E-1;1,692563295E-1;1,634302139E-1;3,103510180E-1
3,766062150E-1;-3,009510636E-1;2,805280685E-2;2,192640305E-1;3,734102539E-1
3,815987670E-1;-4,057387710E-1;-5,174875259E-2;2,343559265E-1;4,714070258E-1
3,866029340E-1;-4,868865013E-1;-1,799635887E-1;2,282447815E-1;5,670458877E-1
3,916071530E-1;-5,461593270E-1;-2,788337469E-1;2,816085815E-1;6,747900874E-1
3,966113190E-1;-5,551958084E-1;-3,281545639E-1;2,874727249E-1;7,060937410E-1
4,016141840E-1;-5,194129348E-1;-3,718376160E-1;3,457803726E-1;7,263725460E-1
4,066182980E-1;-5,037513375E-1;-3,255258799E-1;4,228181839E-1;7,338308560E-1
4,116224130E-1;-4,280178547E-1;-2,358158827E-1;4,971427917E-1;6,971078610E-1
4,166265280E-1;-3,735772371E-1;-1,272660494E-1;5,145101547E-1;6,484422093E-1
4,216271530E-1;-2,803779840E-1;-4,272615910E-2;4,851350784E-1;5,619549652E-1
4,266310590E-1;-1,837674677E-1;2,526450157E-2;4,923086166E-1;5,260955724E-1
4,316350170E-1;-9,760471433E-2;3,836631775E-3;4,456825256E-1;4,562612340E-1
4,366389750E-1;9,351754561E-3;-1,326870918E-2;4,238796234E-1;4,241903454E-1
4,416306420E-1;7,080349326E-2;-5,173766613E-2;3,744821548E-1;3,846125389E-1
4,466340280E-1;4,535822943E-2;-4,672634602E-2;3,544597626E-1;3,603920694E-1
4,516373610E-1;-1,817476153E-1;1,316429377E-1;3,255357742E-1;3,953929678E-1
4,566406420E-1;-2,085428834E-1;2,050898075E-1;5,077161789E-1;5,859417050E-1
4,616645480E-1;-2,701666579E-2;1,045129299E-1;6,688737869E-1;6,775285939E-1
4,666689230E-1;3,188448399E-2;2,881181240E-2;6,885623932E-1;6,899021019E-1
4,716732980E-1;1,180160046E-2;-6,185817719E-2;6,488494873E-1;6,518982812E-1
4,766776210E-1;-2,006036788E-2;-1,666727066E-1;5,668945312E-1;5,912289058E-1
4,816778300E-1;-1,220103651E-1;-2,428896427E-1;4,266061783E-1;5,058406262E-1
4,866819960E-1;-1,640241593E-1;-2,815611362E-1;2,428560257E-1;4,063983852E-1
4,916861110E-1;-1,120808721E-1;-3,801418543E-1;1,037044525E-1;4,096639656E-1
4,966902780E-1;-1,231488958E-1;-4,291135073E-1;-2,927112579E-2;4,473933968E-1
5,016883500E-1;-7,793956250E-2;-4,452483058E-1;-7,095241547E-2;4,575531384E-1
5,066922050E-1;-6,712439656E-2;-3,981410265E-1;-8,394336700E-2;4,123935626E-1
5,116960070E-1;-9,276277572E-2;-3,456600904E-1;-1,372146606E-1;3,832932217E-1
5,166998610E-1;-1,353069544E-1;-2,950623035E-1;-8,104228973E-2;3,345707513E-1
5,217031420E-1;-1,001363993E-1;-2,747526169E-1;-1,610946655E-2;2,928750823E-1
5,267069440E-1;-9,308429062E-2;-2,043139935E-1;8,838558197E-2;2,412900831E-1
5,317107460E-1;-5,680948496E-3;-1,128562689E-1;2,154788971E-1;2,433104307E-1
5,367145480E-1;8,505347371E-2;-1,290514469E-1;3,223505020E-1;3,574887627E-1
5,416961110E-1;1,000668257E-1;-1,126421690E-1;3,808670044E-1;4,095867465E-1
5,466987670E-1;1,913805902E-1;-1,233685017E-1;4,674129486E-1;5,199242080E-1
5,517015280E-1;2,202767134E-1;-1,637684107E-1;4,584579468E-1;5,343459663E-1
5,567042360E-1;2,280219942E-1;-2,319700718E-1;4,119625092E-1;5,248973738E-1
5,617439750E-1;2,625890374E-1;-2,972226143E-1;3,852453232E-1;5,529088931E-1
5,667485070E-1;2,218615711E-1;-3,621529341E-1;3,994731903E-1;5,830575736E-1
5,717530900E-1;1,963719726E-1;-3,770983815E-1;4,993305206E-1;6,558171314E-1
5,767576210E-1;1,518206894E-1;-3,543864489E-1;5,630064011E-1;6,823602308E-1
5,817521000E-1;3,557747975E-2;-3,347694278E-1;5,813722610E-1;6,718110097E-1
5,867561630E-1;-1,064618155E-1;-2,730864286E-1;4,860486984E-1;5,675858111E-1
5,917601730E-1;-1,942104697E-1;-2,100912929E-1;3,540363312E-1;4,551898304E-1
5,967642360E-1;-1,814109385E-1;-2,002133131E-1;2,378511429E-1;3,599561994E-1
6,017686630E-1;-9,880463779E-2;-2,350784540E-1;1,728467941E-1;3,080588422E-1
6,067727250E-1;-4,173651338E-2;-2,661240101E-1;8,962631226E-2;2,838957575E-1
6,117767880E-1;1,890068501E-2;-3,217437863E-1;-4,253864288E-2;3,250935805E-1
6,167808500E-1;3,619591147E-2;-3,157036304E-1;-1,876926422E-1;3,690629407E-1
6,217803300E-1;-5,453754216E-3;-2,812184095E-1;-2,199840546E-1;3,570805533E-1
6,267841320E-1;-3,452822566E-3;-2,564110756E-1;-2,140350342E-1;3,340202951E-1
6,317879860E-1;-1,369572580E-1;-2,149248123E-1;-1,630706787E-1;3,025591045E-1
6,367918400E-1;-2,536775470E-1;-1,092898846E-1;-1,031007767E-1;2,948327439E-1
6,417946000E-1;-2,551770210E-1;-1,386785507E-2;-6,978797913E-2;2,649112899E-1
6,467984030E-1;-1,793138236E-1;1,200127602E-2;-2,013301849E-2;1,808392004E-1
6,518021530E-1;-4,179926962E-2;2,614796162E-2;4,808521271E-2;6,887004079E-2
6,568059550E-1;3,267162293E-2;6,902122498E-2;8,483982086E-2;1,141453444E-1
6,618122050E-1;4,678644985E-2;1,476354599E-1;1,212720871E-1;1,967031266E-1
6,668161110E-1;2,526465803E-2;2,187840939E-1;1,241273880E-1;2,528090013E-1
6,718200690E-1;-2,184081972E-1;4,247742891E-1;1,768760681E-1;5,093333690E-1
6,768239230E-1;-5,185880065E-1;6,196374893E-1;1,303958893E-2;8,081176706E-1
6,818251210E-1;-1,877809465E-1;3,926476240E-1;2,161121368E-2;4,357761869E-1
6,868288710E-1;3,194399178E-3;1,208107471E-1;-9,584808350E-2;1,542475151E-1
6,918326210E-1;5,360722542E-2;-4,746234417E-2;-1,531047821E-1;1,690191795E-1
6,968364230E-1;-6,115749478E-3;-1,149716377E-1;-2,053670883E-1;2,354389960E-1
7,018403820E-1;-1,653017849E-1;-1,014254093E-1;-1,481809616E-1;2,440684148E-1
7,068441320E-1;-3,370647430E-1;-1,121683121E-1;-7,509613037E-2;3,630892453E-1
7,118479340E-1;-6,392869353E-1;-1,781549454E-1;-7,174777985E-2;6,675138307E-1
7,168516840E-1;-6,540484428E-1;-1,759349108E-1;9,775161743E-3;6,773684464E-1
7,218579340E-1;-5,596902966E-1;-1,709343195E-1;2,400779724E-2;5,857031194E-1
7,268618400E-1;-4,808557034E-1;-2,133737803E-1;-7,061958313E-3;5,261182840E-1
7,318657460E-1;-4,200803041E-1;-2,958115339E-1;-9,401321411E-3;5,138679893E-1
7,368696530E-1;-3,327154517E-1;-3,419806957E-1;-8,062267303E-2;4,838908797E-1
7,418843400E-1;-3,156838715E-1;-3,453322649E-1;-1,251096725E-1;4,843171586E-1
7,468888190E-1;-3,990944028E-1;-3,727774024E-1;-6,469058990E-2;5,499310925E-1
7,518932460E-1;-3,288727999E-1;-3,390878439E-1;-3,793430328E-2;4,738954481E-1
7,568977250E-1;-2,520959377E-1;-3,072106838E-1;-1,594257355E-2;3,977246934E-1
7,618577780E-1;-1,309501529E-1;-2,912622690E-1;-1,056480408E-2;3,195203702E-1
7,668600170E-1;2,457888424E-2;-2,935546637E-1;1,398372650E-2;2,949135580E-1
7,718622570E-1;8,633117378E-2;-2,164971828E-1;5,266189575E-3;2,331347990E-1
7,768644960E-1;1,544277370E-2;-7,466459274E-2;-8,401107788E-2;1,134510550E-1
7,818986630E-1;-1,244392991E-2;3,665268421E-2;-1,202077866E-1;1,262861140E-1
7,869024650E-1;-7,136476040E-2;8,237421513E-2;-1,465654373E-1;1,826468389E-1
7,919063190E-1;-1,302677989E-1;3,491878510E-2;-2,677345276E-1;2,997845864E-1
7,969101210E-1;-2,368005067E-1;-7,824552059E-2;-3,618478775E-1;4,394664127E-1
8,019158500E-1;-4,286533296E-1;-1,799577475E-1;-5,646181107E-1;7,313836741E-1
8,069197570E-1;-6,478475332E-1;-2,058017254E-1;-6,281394958E-1;9,255376830E-1
8,119236630E-1;-5,540322065E-1;-1,846835613E-1;-6,605052948E-1;8,816614703E-1
8,169276210E-1;-4,625383019E-1;-1,455206871E-1;-6,595630646E-1;8,186216387E-1
8,219291320E-1;-4,445767403E-1;-1,170411110E-1;-6,944389343E-1;8,328220297E-1
8,269329340E-1;-4,842503965E-1;-9,446585178E-2;-7,481851578E-1;8,962160866E-1
8,319366840E-1;-5,528650284E-1;-1,272224188E-1;-8,967294693E-1;1,061116876E0
8,369404860E-1;-5,070126057E-1;-1,311984062E-1;-1,027716637E0;1,153462739E0
8,419655380E-1;-4,395266771E-1;-1,231129169E-1;-1,046303749E0;1,141530563E0
8,469703820E-1;-4,762550592E-1;-1,765906811E-2;-1,036553383E0;1,140865303E0
8,519752250E-1;-5,522178411E-1;3,928744793E-2;-1,046186447E0;1,183635979E0
8,569800690E-1;-6,502695680E-1;1,006267071E-1;-9,966764450E-1;1,194294847E0
8,619612670E-1;-6,629788876E-1;1,354954243E-1;-9,645328522E-1;1,178229026E0
8,669649650E-1;-4,798356891E-1;4,686975479E-2;-8,854799271E-1;1,008223072E0
8,719686110E-1;-3,388708830E-1;-1,380119324E-1;-7,123765945E-1;8,008502864E-1
8,769723090E-1;-2,486578226E-1;-2,423217297E-1;-5,576400757E-1;6,568964815E-1
8,819761630E-1;-1,739953458E-1;-2,527786493E-1;-4,352798462E-1;5,325786049E-1
8,869798610E-1;-2,046276182E-1;-2,275078297E-1;-3,781938553E-1;4,864800786E-1
8,919835590E-1;-1,887470484E-1;-2,290800810E-1;-3,691139221E-1;4,736541135E-1
8,969872050E-1;-2,320831120E-1;-1,794715524E-1;-3,291606903E-1;4,409301181E-1
9,019902250E-1;-2,344628572E-1;-2,293531299E-1;-2,585449219E-1;4,176376016E-1
9,069938710E-1;-1,492030025E-1;-2,885441780E-1;-1,907176971E-1;3,766862336E-1
9,119975170E-1;-1,444650888E-1;-3,459464908E-1;-1,232366562E-1;3,946345269E-1
9,170011630E-1;-9,436637163E-3;-3,927542567E-1;-2,283477783E-2;3,935306638E-1
9,219992360E-1;4,429534078E-2;-3,204508424E-1;7,933330536E-2;3,330834624E-1
9,270026210E-1;6,486666203E-2;-2,707529068E-1;1,215009689E-1;3,037717989E-1
9,320060070E-1;1,075441539E-1;-2,126048207E-1;9,936714172E-2;2,581479880E-1
9,370093400E-1;-9,556740522E-2;-3,885960579E-2;9,653282166E-2;1,412861761E-1
9,420400170E-1;-2,218677998E-1;7,403331995E-2;7,241821289E-2;2,448482195E-1
9,470447050E-1;-1,825921685E-1;1,079037786E-1;-2,743148804E-2;2,138588599E-1
9,520494960E-1;-1,390424967E-1;1,400132775E-1;5,415630341E-2;2,046202311E-1
9,570542360E-1;-1,316719651E-1;1,590688229E-1;2,127647400E-3;2,065064737E-1
9,620198610E-1;-1,620798707E-1;2,086128592E-1;-7,551383972E-2;2,747572556E-1
9,670226730E-1;3,530417383E-2;7,071489096E-2;-1,334753036E-1;1,551213627E-1
9,720254340E-1;2,361054271E-1;2,495265007E-2;-1,172685623E-1;2,648024229E-1
9,770281940E-1;4,505243301E-1;-1,144769192E-1;-6,553173065E-2;4,694374770E-1
9,820293400E-1;5,748527050E-1;-2,110518813E-1;1,116895676E-1;6,224733637E-1
9,870320480E-1;5,492672324E-1;-1,465129256E-1;2,969703674E-1;6,413672342E-1
9,920347570E-1;5,550304651E-1;-1,339566708E-1;4,712696075E-1;7,403365788E-1
9,970374130E-1;3,357760906E-1;-6,173199415E-2;4,898147583E-1;5,970552065E-1
1,002063767E0;9,212094545E-2;-4,749894142E-2;4,751014709E-1;4,862754628E-1
1,007067621E0;1,423798800E-1;-2,701744437E-1;4,345970154E-1;5,311693007E-1
1,012071528E0;4,652805626E-2;-3,956343234E-1;3,970174789E-1;5,624182220E-1
1,017075382E0;-1,166297272E-1;-4,495164752E-1;4,811477661E-1;6,687082530E-1
1,022079444E0;-6,045906246E-2;-6,874750853E-1;5,315780640E-1;8,711214205E-1
1,027083298E0;5,264206231E-2;-7,923229933E-1;5,746974945E-1;9,802163652E-1
1,032087205E0;6,603512168E-2;-8,320641518E-1;5,772972107E-1;1,014871154E0
1,037091111E0;1,042457819E-1;-7,362891436E-1;5,682268143E-1;9,358795854E-1
1,042118871E0;8,957701921E-2;-5,964771509E-1;4,976768494E-1;7,819790792E-1
1,047124028E0;1,183511317E-1;-3,459800482E-1;4,706411362E-1;5,959968651E-1
1,052129080E0;2,303158343E-1;-2,037963867E-1;4,344997406E-1;5,323235626E-1
1,057134184E0;3,905840814E-1;-9,166175127E-2;3,584175110E-1;5,379785437E-1
1,062106632E0;4,641708732E-1;1,361399889E-2;2,213010788E-1;5,144065590E-1
1,067110017E0;5,478513241E-1;6,555080414E-2;8,065032959E-2;5,576221453E-1
1,072113507E0;5,403500795E-1;4,265069962E-3;-8,021259308E-2;5,462878906E-1
1,077116944E0;4,202070236E-1;1,047896147E-1;-3,300762177E-1;5,445228329E-1
1,082123246E0;2,053433806E-1;1,645386815E-1;-6,160097122E-1;6,698558406E-1
1,087126840E0;3,301832080E-2;1,726808548E-1;-8,285284042E-1;8,469759169E-1
1,092130434E0;4,600243270E-2;1,347756386E-1;-9,089050293E-1;9,199940483E-1
1,097134028E0;8,079732955E-2;1,345498562E-1;-8,938951492E-1;9,075684052E-1
1,102143142E0;9,112944454E-2;1,127314568E-1;-7,819547653E-1;7,952774434E-1
1,107146996E0;8,604162186E-2;8,586192131E-2;-6,071262360E-1;6,191750129E-1
1,112150903E0;1,032134295E-1;8,163452148E-3;-4,458951950E-1;4,577577732E-1
1,117154757E0;1,257611066E-1;-1,110907197E-1;-2,434568405E-1;2,956826629E-1
1,122157986E0;1,848605722E-1;-1,654894352E-1;-7,610321045E-2;2,595224132E-1
1,127161788E0;1,877712011E-1;-1,824284196E-1;2,326297760E-2;2,628294473E-1
1,132165642E0;1,566111892E-1;-1,871457696E-1;5,054950714E-2;2,492104660E-1
1,137169496E0;1,021949276E-1;-1,546792984E-1;6,345081329E-2;1,959476825E-1
1,142209288E0;8,255250007E-2;-1,997311711E-1;5,736255646E-2;2,236021442E-1
1,147214913E0;6,914352626E-2;-2,607969940E-1;5,389118195E-2;2,751366184E-1
1,152220590E0;1,235986650E-1;-3,284827471E-1;4,827976227E-2;3,542717609E-1
1,157226215E0;1,000577658E-1;-3,505760133E-1;2,629756927E-2;3,655224477E-1
1,162177621E0;6,249189004E-2;-2,993520498E-1;-4,766464233E-3;3,058424517E-1
1,167180538E0;-1,282382011E-2;-2,253970206E-1;-1,870346069E-2;2,265349569E-1
1,172183507E0;-7,359637320E-2;-1,978285313E-1;-6,078910828E-2;2,196539770E-1
1,177186423E0;-7,968020439E-2;-1,708409786E-1;-1,213064194E-1;2,241669519E-1
1,182193246E0;-3,149284422E-2;-1,369420886E-1;-1,834964752E-1;2,311187818E-1
1,187196371E0;1,199954003E-1;-8,353298903E-2;-1,547574997E-1;2,129003055E-1
1,192199444E0;2,166094184E-1;-1,239514351E-2;-1,000537872E-1;2,389226654E-1
1,197202621E0;2,772547901E-1;6,709235907E-2;-6,239318848E-2;2,920008788E-1
1,202211059E0;3,450035751E-1;1,199506521E-1;-1,367139816E-1;3,900081262E-1
1,207214444E0;4,058778584E-1;1,684064865E-1;-2,223615646E-1;4,924857826E-1
1,212217830E0;4,158305526E-1;1,842918992E-1;-2,978715897E-1;5,436966401E-1
1,217221215E0;4,068018794E-1;1,370707154E-1;-3,134450912E-1;5,315298443E-1
1,222213975E0;3,691708446E-1;8,943909407E-2;-3,622684479E-1;5,249046507E-1
1,227216840E0;3,296124339E-1;1,009278893E-1;-4,868364334E-1;5,965236863E-1
1,232219705E0;2,934057415E-1;7,133030891E-2;-4,964723587E-1;5,810849723E-1
1,237222569E0;2,299200892E-1;5,084037781E-2;-5,109052658E-1;5,625586032E-1
1,242258194E0;2,012529671E-1;4,879343510E-2;-4,992027283E-1;5,404506638E-1
1,247262725E0;2,567316890E-1;2,469664812E-2;-4,592151642E-1;5,266874325E-1
1,252267205E0;2,148812860E-1;1,876813173E-2;-4,101562500E-1;4,634159679E-1
1,257271684E0;1,807776690E-1;9,267628193E-3;-3,687152863E-1;4,107522573E-1
1,262244913E0;1,186769456E-1;2,187341452E-2;-2,872762680E-1;3,115931929E-1
1,267247882E0;2,193570137E-2;2,511417866E-2;-1,732549667E-1;1,764346351E-1
1,272250798E0;-7,507771254E-3;-5,028104782E-2;-6,252861023E-2;8,058770065E-2
1,277253767E0;1,478385925E-2;-1,092486382E-1;1,645660400E-2;1,114659017E-1
1,282273038E0;-2,082589269E-2;-1,262703538E-1;2,362251282E-2;1,301381695E-1
1,287276788E0;-9,239464998E-3;-1,020131707E-1;-1,665306091E-2;1,037756193E-1
1,292280538E0;5,685821176E-2;-1,129860878E-1;3,383731842E-2;1,309338627E-1
1,297284288E0;1,199292094E-1;-1,658374071E-1;1,339340210E-1;2,445881903E-1
1,302275642E0;1,410596222E-1;-9,636205435E-2;1,382904053E-1;2,197901242E-1
1,307278767E0;1,609391123E-1;6,902694702E-3;1,094379425E-1;1,947452395E-1
1,312281892E0;1,562763304E-1;1,274668574E-1;4,763031006E-2;2,072166441E-1
1,317285017E0;1,371600181E-1;2,344579101E-1;7,781028748E-3;2,717423901E-1
1,322287257E0;1,659658104E-1;2,451836467E-1;1,820182800E-2;2,966327315E-1
1,327290330E0;2,065274566E-1;1,634377837E-1;4,040622711E-2;2,664548042E-1
1,332293403E0;2,202107012E-1;1,017876863E-1;2,437686920E-2;2,438190267E-1
1,337296475E0;2,214584649E-1;9,601604939E-2;8,407592773E-3;2,415235413E-1
1,342344132E0;1,580958515E-1;9,324538708E-2;2,814292908E-2;1,856906700E-1
1,347349444E0;8,298039436E-2;6,502974033E-2;5,952167511E-2;1,210679263E-1
1,352354757E0;1,526421309E-2;4,228657484E-2;7,395648956E-2;8,654890503E-2
1,357360069E0;-2,646169066E-2;3,859627247E-2;3,837776184E-2;6,052062397E-2
1,362342830E0;-6,595197320E-2;4,213154316E-3;-1,593685150E-2;6,798085520E-2
1,367347048E0;-3,175440431E-2;-3,003412485E-2;-2,940559387E-2;5,267902618E-2
1,372351215E0;-1,253706217E-2;-4,749077559E-2;4,275608063E-2;6,512015144E-2
1,377355434E0;1,771429181E-2;-2,247017622E-2;5,494785309E-2;6,195136409E-2
1,382352153E0;8,333039284E-2;2,319920063E-2;3,146076202E-2;9,204312482E-2
1,387355955E0;1,390280724E-1;4,640591145E-2;1,775169373E-2;1,476395481E-1
1,392359757E0;1,756767780E-1;4,256659746E-2;-1,000308990E-2;1,810367569E-1
1,397363611E0;2,339823842E-1;8,322769403E-2;-1,129722595E-2;2,486005480E-1
1,402374132E0;2,401331067E-1;1,513632536E-1;1,840400696E-2;2,844528976E-1
1,407378246E0;2,393190712E-1;1,900470257E-1;2,415847778E-2;3,065536199E-1
1,412382413E0;2,745012045E-1;1,948158741E-1;-5,704879761E-3;3,366551377E-1
1,417386580E0;2,882401347E-1;1,903131008E-1;4,781723022E-2;3,486946216E-1
1,422383611E0;2,875789404E-1;1,840146780E-1;3,908348083E-2;3,436430810E-1
1,427387361E0;2,444351912E-1;1,974115372E-1;-1,905498505E-1;3,674630909E-1
1,432391163E0;1,693847626E-1;1,259160042E-1;-3,232774734E-1;3,860755920E-1
1,437394965E0;1,009512544E-1;1,581933498E-1;-4,644546509E-1;5,009335429E-1
1,442365278E0;2,961641550E-2;1,601717472E-1;-4,762086868E-1;5,032959707E-1
1,447367361E0;1,907405257E-2;1,060018539E-1;-4,214029312E-1;4,349490119E-1
1,452369496E0;-1,548373699E-2;8,660006523E-2;-3,956813812E-1;4,053431544E-1
1,457371632E0;-2,992740273E-2;8,504843712E-2;-3,513469696E-1;3,627307254E-1
1,462384653E0;-7,058310509E-2;1,248166561E-1;-2,695856094E-1;3,053482818E-1
1,467387309E0;-8,541080356E-2;1,529415846E-1;-1,696949005E-1;2,438903297E-1
1,472390017E0;-3,648090363E-2;1,408357620E-1;-8,981132507E-2;1,709726361E-1
1,477392673E0;2,157697082E-2;1,264904737E-1;-3,207778931E-2;1,322663607E-1
1,482427882E0;3,221768141E-2;8,334851265E-2;3,464698792E-2;9,584032204E-2
1,487432205E0;4,641935229E-2;7,787823677E-2;1,174831390E-1;1,483983288E-1
1,492436528E0;5,057021976E-2;7,845425606E-2;1,451082230E-1;1,725364129E-1
1,497440798E0;-4,333466291E-3;6,820678711E-2;1,180391312E-1;1,363971452E-1
1,502421736E0;3,029292822E-2;3,524315357E-2;1,270484924E-1;1,352814134E-1
1,507424861E0;7,560518384E-2;2,708244324E-2;1,196069717E-1;1,440674503E-1
1,512427986E0;8,404380083E-2;5,340528488E-2;6,492805481E-2;1,188744599E-1
1,517431111E0;9,118291736E-2;1,001859903E-1;-3,666782379E-2;1,403427461E-1
1,522453455E0;6,359103322E-2;1,082315445E-1;-9,456825256E-2;1,571656487E-1
1,527457569E0;4,902639985E-2;1,284304857E-1;-1,733598709E-1;2,212501353E-1
1,532461632E0;2,329376340E-2;1,184980869E-1;-3,180885315E-1;3,402421342E-1
1,537465746E0;-2,763345838E-2;1,123832464E-1;-4,546146393E-1;4,691141357E-1
1,542517934E0;-6,060332060E-2;8,672726154E-2;-5,474214554E-1;5,575523564E-1
1,547524444E0;-1,068873107E-1;9,670662880E-2;-6,135625839E-1;6,302667004E-1
1,552530955E0;-1,453700066E-1;6,152510643E-2;-6,105499268E-1;6,306258721E-1
1,557537465E0;-1,289056838E-1;4,551804066E-2;-5,460777283E-1;5,629293496E-1
1,562489444E0;-1,083706021E-1;4,583501816E-2;-4,681520462E-1;4,827125176E-1
1,567493194E0;-3,905388713E-2;1,245081425E-2;-3,388919830E-1;3,413619853E-1
