"event";"experiment time";"system time";"system time text"
"START";0,000000000E0;1706199750,803;"2024-01-25 18:22:30.803 UTC+02:00"
"PAUSE";2,136676251E2;1706199964,471;"2024-01-25 18:26:04.471 UTC+02:00"
