"event";"experiment time";"system time";"system time text"
"START";0,000000000E0;1705834800,137;"2024-01-21 13:00:00.137 UTC+02:00"
"PAUSE";1,664416494E1;1705834816,781;"2024-01-21 13:00:16.781 UTC+02:00"
