"Time (s)";"Latitude (°)";"Longitude (°)";"Altitude (m)";"Altitude WGS84 (m)";"Speed (m/s)";"Direction (°)";"Distance (km)";"Horizontal Accuracy (m)";"Vertical Accuracy (m)";"Satellites"
3,569011592E1;6,498840921E1;2,556095101E1;1,047121900E1;2,794976807E1;0,000000000E0;NaN;4,161821297E-2;3,790092468E0;4,203576088E0;3,100000000E1
3,668991707E1;6,498841411E1;2,556096095E1;1,086447181E1;2,834301758E1;0,000000000E0;NaN;4,203306201E-2;3,790092468E0;4,092597485E0;3,200000000E1
3,769109738E1;6,498841602E1;2,556096853E1;1,123733639E1;2,871588135E1;0,000000000E0;NaN;4,302793755E-2;3,790092468E0;3,998398542E0;3,300000000E1
3,869160587E1;6,498842388E1;2,556097864E1;1,131632194E1;2,879486084E1;0,000000000E0;NaN;4,388769987E-2;3,790092468E0;3,902748823E0;3,500000000E1
3,969145082E1;6,498843052E1;2,556098801E1;1,222544561E1;2,970397949E1;0,000000000E0;NaN;4,432769514E-2;3,790092468E0;3,769376755E0;3,300000000E1
4,069005764E1;6,498843431E1;2,556099070E1;1,272416707E1;3,020269775E1;0,000000000E0;NaN;4,510570345E-2;3,790092468E0;3,755653381E0;3,400000000E1
4,169136790E1;6,498843812E1;2,556100458E1;1,358226211E1;3,106079102E1;0,000000000E0;NaN;4,669547299E-2;3,790092468E0;3,635957956E0;3,600000000E1
4,269090707E1;6,498845103E1;2,556101911E1;1,522247008E1;3,270098877E1;0,000000000E0;NaN;5,102035111E-2;3,790092468E0;3,385725021E0;3,700000000E1
4,369237524E1;6,498845517E1;2,556111058E1;1,506688348E1;3,254541016E1;1,529999971E0;8,300000000E1;5,268358745E-2;3,790092468E0;2,923640728E0;3,900000000E1
4,469196243E1;6,498846131E1;2,556114284E1;1,636479765E1;3,384332275E1;1,629999995E0;1,015999985E2;5,496525103E-2;3,790092468E0;2,672637939E0;3,900000000E1
4,569115988E1;6,498845182E1;2,556118587E1;1,754428757E1;3,502282715E1;1,269999981E0;1,075000000E2;5,666351775E-2;3,790092468E0;2,514539242E0;3,900000000E1
4,669127430E1;6,498844972E1;2,556122165E1;1,845144648E1;3,592999268E1;1,570000052E0;1,061999969E2;5,817646574E-2;3,790092468E0;2,500000000E0;3,900000000E1
4,768983399E1;6,498844654E1;2,556125294E1;1,861977440E1;3,609832764E1;1,419999957E0;1,180999985E2;6,008651289E-2;3,790092468E0;2,500000000E0;3,900000000E1
4,869276842E1;6,498843424E1;2,556128130E1;1,869355069E1;3,617211914E1;1,830000043E0;1,306000061E2;6,213961446E-2;3,790092468E0;2,500000000E0;4,000000000E1
4,968946404E1;6,498842039E1;2,556131018E1;1,748113161E1;3,495971680E1;1,889999986E0;1,348000031E2;6,422848936E-2;3,790092468E0;2,500000000E0;4,000000000E1
5,069193305E1;6,498840466E1;2,556133447E1;1,683987835E1;3,431848145E1;1,909999967E0;1,443999939E2;6,634818937E-2;3,790092468E0;2,500000000E0;4,000000000E1
5,169197706E1;6,498838740E1;2,556135361E1;1,757527228E1;3,505389404E1;1,830000043E0;1,531000061E2;6,835141969E-2;3,790092468E0;2,500000000E0;4,100000000E1
5,269216081E1;6,498836958E1;2,556135987E1;1,822204430E1;3,570068359E1;1,850000024E0;1,703000031E2;7,045967753E-2;3,790092468E0;2,500000000E0;4,100000000E1
5,369091977E1;6,498835077E1;2,556135424E1;1,828336773E1;3,576202393E1;1,820000052E0;1,846000061E2;7,300644934E-2;3,790092468E0;2,500000000E0;4,100000000E1
5,469179435E1;6,498833030E1;2,556132994E1;1,797469690E1;3,545336914E1;2,269999981E0;2,111000061E2;7,571323002E-2;3,790092468E0;2,500000000E0;4,000000000E1
5,568960581E1;6,498831225E1;2,556129131E1;1,784327629E1;3,532196045E1;2,279999971E0;2,251999969E2;7,867111324E-2;3,790092468E0;2,500000000E0;4,000000000E1
5,668928326E1;6,498829761E1;2,556123878E1;1,754346469E1;3,502215576E1;2,769999981E0;2,385000000E2;8,172145684E-2;3,790092468E0;2,500000000E0;4,000000000E1
5,769186711E1;6,498828669E1;2,556117926E1;1,829016628E1;3,576885986E1;2,809999943E0;2,446000061E2;8,490402060E-2;3,790092468E0;2,500000000E0;4,000000000E1
5,869415899E1;6,498827484E1;2,556111764E1;1,798364461E1;3,546234131E1;3,000000000E0;2,456999969E2;8,804387372E-2;3,790092468E0;2,500000000E0;4,000000000E1
5,969268800E1;6,498826341E1;2,556105657E1;1,781854172E1;3,529724121E1;3,029999971E0;2,461000061E2;9,117824207E-2;3,790092468E0;2,500000000E0;4,000000000E1
6,069096920E1;6,498824960E1;2,556099845E1;1,796221307E1;3,544091797E1;3,049999952E0;2,421000061E2;9,448080741E-2;3,790092468E0;2,500000000E0;4,000000000E1
6,170027003E1;6,498823414E1;2,556093847E1;1,790062188E1;3,537933350E1;3,140000105E0;2,418000031E2;9,776295224E-2;3,790092468E0;2,500000000E0;4,000000000E1
6,269179883E1;6,498822082E1;2,556087617E1;1,750040996E1;3,497912598E1;3,099999905E0;2,446000061E2;1,010319391E-1;3,790092468E0;2,500000000E0;4,000000000E1
6,369321758E1;6,498820785E1;2,556081377E1;1,802286684E1;3,550158691E1;3,079999924E0;2,431000061E2;1,042646626E-1;3,790092468E0;2,500000000E0;4,000000000E1
6,469399513E1;6,498819412E1;2,556075316E1;1,813241994E1;3,561114502E1;3,109999895E0;2,423999939E2;1,070159477E-1;3,790092468E0;2,500000000E0;4,000000000E1
6,569089409E1;6,498818118E1;2,556070328E1;1,817550510E1;3,565423584E1;2,549999952E0;2,363000031E2;1,094628693E-1;3,790092468E0;2,500000000E0;4,000000000E1
6,669062513E1;6,498816492E1;2,556066821E1;1,800490114E1;3,548364258E1;2,490000010E0;2,185000000E2;1,124913989E-1;3,790092468E0;2,500000000E0;4,000000000E1
6,769338034E1;6,498813806E1;2,556065754E1;1,820189883E1;3,568066406E1;3,029999971E0;1,870000000E2;1,159629178E-1;3,790092468E0;2,500000000E0;4,000000000E1
6,869202305E1;6,498810732E1;2,556067044E1;1,851241520E1;3,599121094E1;3,359999895E0;1,720000000E2;1,193655372E-1;3,790092468E0;2,500000000E0;4,000000000E1
6,969472513E1;6,498807813E1;2,556069216E1;1,835772193E1;3,583654785E1;3,349999905E0;1,665000000E2;1,228015734E-1;3,790092468E0;2,500000000E0;3,900000000E1
7,069337727E1;6,498804899E1;2,556071648E1;1,797963969E1;3,545849609E1;3,369999886E0;1,641000061E2;1,261429088E-1;3,790092468E0;2,500000000E0;4,000000000E1
7,169639336E1;6,498802085E1;2,556074141E1;1,816753731E1;3,564642334E1;3,359999895E0;1,643000031E2;1,294671135E-1;3,790092468E0;2,500000000E0;4,000000000E1
