"Time (s)";"Latitude (°)";"Longitude (°)";"Altitude (m)";"Altitude WGS84 (m)";"Speed (m/s)";"Direction (°)";"Distance (km)";"Horizontal Accuracy (m)";"Vertical Accuracy (m)";"Satellites"
4,460845957E1;6,498826712E1;2,556112649E1;2,013720067E1;3,761590576E1;2,000000030E-1;1,570000000E2;3,542425561E-1;9,965843201E0;2,106691551E1;0,000000000E0
4,560924384E1;6,498838170E1;2,556091056E1;-2,495247709E1;-7,473907471E0;5,299999714E-1;1,570000000E2;3,653369366E-1;1,026057243E1;1,949325371E1;1,100000000E1
4,660809910E1;6,498831694E1;2,556109008E1;-2,854347298E1;-1,106481934E1;8,100000024E-1;1,721000061E2;3,694397394E-1;8,813088417E0;1,606965637E1;1,300000000E1
4,760819352E1;6,498828070E1;2,556107368E1;-1,832841695E1;-8,497314453E-1;9,800000191E-1;1,901999969E2;3,749817657E-1;1,030602837E1;1,808090973E1;1,300000000E1
4,860847946E1;6,498829640E1;2,556096180E1;-2,072650397E0;1,540600586E1;7,300000191E-1;1,901999969E2;3,798954344E-1;1,131423092E1;2,057353210E1;1,300000000E1
4,960828540E1;6,498833760E1;2,556099959E1;-1,728919992E1;1,894226074E-1;3,100000024E-1;1,901999969E2;3,834923534E-1;9,773523331E0;1,696214104E1;1,300000000E1
5,060700550E1;6,498832588E1;2,556092828E1;-8,378007806E0;9,100616455E0;1,649999976E0;2,732999878E2;3,894843162E-1;1,106267262E1;2,068717766E1;1,300000000E1
5,161013493E1;6,498837517E1;2,556097979E1;1,693168205E0;1,917175293E1;1,370000005E0;3,890000153E1;3,947267401E-1;1,714679909E1;2,892709732E1;1,300000000E1
5,260974633E1;6,498842095E1;2,556100644E1;1,673739713E1;3,421594238E1;6,200000048E-1;3,890000153E1;4,019339951E-1;1,281992435E1;2,315890121E1;1,200000000E1
5,360905014E1;6,498847710E1;2,556092986E1;4,756839234E1;6,504687500E1;1,460000038E0;1,939999962E1;4,070505011E-1;1,684823418E1;2,736705780E1;1,200000000E1
