"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
4,077390690E-1;2,435361147E-1;-1,351175308E-1;1,174163818E-2;2,787551836E-1
4,127138600E-1;3,061605096E-1;-1,666367054E-1;2,938652039E-2;3,498079713E-1
4,177159440E-1;2,433680296E-1;-2,305324078E-1;-2,249336243E-2;3,359749101E-1
4,227180270E-1;2,981164455E-1;-2,672660351E-1;8,146953583E-2;4,085851611E-1
4,277200580E-1;4,048800468E-1;-2,354969978E-1;2,142496109E-1;5,150626992E-1
4,327548500E-1;3,864486814E-1;-2,050225735E-1;2,502174377E-1;5,039698454E-1
4,377585480E-1;3,310382962E-1;-3,113741875E-1;3,208713531E-1;5,563260406E-1
4,427622980E-1;3,503347039E-1;-3,548462391E-1;3,811092377E-1;6,276101570E-1
4,477659960E-1;3,051180840E-1;-4,006590843E-1;3,602199554E-1;6,191794274E-1
4,527618810E-1;2,102316618E-1;-4,654178619E-1;2,899894714E-1;5,872861580E-1
4,577652140E-1;1,916152835E-1;-4,327123165E-1;1,638336182E-1;5,007971847E-1
4,627685480E-1;1,397962570E-1;-4,241907597E-1;1,432266235E-1;4,690358832E-1
4,677718810E-1;9,368121624E-2;-3,451013565E-1;1,157979965E-1;3,758727079E-1
4,727784440E-1;1,123412251E-1;-2,151653767E-1;-2,248954773E-2;2,437672454E-1
4,777819330E-1;1,004850268E-1;-2,260587215E-1;-1,663675308E-1;2,981240371E-1
4,827854230E-1;1,707749367E-1;-2,216968536E-1;-2,685194016E-1;3,878353296E-1
4,877889120E-1;1,688919067E-1;-2,778487206E-1;-2,063674927E-1;3,851128792E-1
4,928104750E-1;2,740947008E-1;-2,212400436E-1;-1,710329056E-1;3,915703215E-1
4,978149020E-1;2,491306663E-1;-2,645914555E-1;-2,458667755E-2;3,642516052E-1
5,028193290E-1;3,301333785E-1;-2,250423431E-1;7,801055908E-2;4,070844521E-1
5,078237040E-1;2,716215253E-1;-2,839169502E-1;2,368144989E-1;4,587681272E-1
5,128249020E-1;3,497361541E-1;-1,827700138E-1;2,524728775E-1;4,684685788E-1
5,178291730E-1;2,019572854E-1;-2,953076363E-1;3,396720886E-1;4,933259297E-1
5,228333920E-1;1,892524362E-1;-2,525596619E-1;4,409952164E-1;5,422911102E-1
5,278376620E-1;2,530120015E-1;-2,220861912E-1;4,757032394E-1;5,827786211E-1
5,328411520E-1;5,612516403E-2;-3,203675747E-1;5,678710938E-1;6,544180591E-1
5,378453710E-1;1,892762780E-1;-1,694927216E-1;5,605459213E-1;6,154388857E-1
5,428495890E-1;3,849489391E-1;-3,479647636E-2;4,545679092E-1;5,966812085E-1
5,478538080E-1;1,814413667E-1;-2,503507137E-1;5,023040771E-1;5,898354307E-1
5,528349020E-1;9,354096651E-2;-3,075413704E-1;4,698848724E-1;5,693183646E-1
5,578379750E-1;1,402427554E-1;-1,769168377E-1;3,413457870E-1;4,092487559E-1
5,628409960E-1;1,864554286E-1;-9,253096581E-2;2,147159576E-1;2,990494089E-1
5,678440690E-1;1,651497483E-1;-1,124041080E-1;1,157798767E-1;2,308984684E-1
5,728822460E-1;9,125173092E-2;-1,234405041E-1;7,255649567E-2;1,697906991E-1
5,778870370E-1;2,715915442E-2;-1,373529434E-1;3,938198090E-2;1,454454920E-1
5,828918290E-1;7,734000683E-2;-1,252174377E-1;8,485317230E-2;1,698850912E-1
5,878966730E-1;1,388705969E-1;-7,551789284E-2;1,204795837E-1;1,987544337E-1
5,928912040E-1;1,525552273E-1;-7,649469376E-2;1,511497498E-1;2,279710122E-1
5,978955270E-1;1,826344132E-1;-7,820343971E-2;2,149505615E-1;2,927026662E-1
6,028998500E-1;1,833254695E-1;-1,097071171E-1;2,666025162E-1;3,416442315E-1
6,079041730E-1;1,381926537E-1;-8,786344528E-2;2,991495132E-1;3,410390386E-1
6,129052140E-1;8,769571781E-2;-8,214330673E-2;2,392120361E-1;2,676947142E-1
6,179093810E-1;4,855793715E-2;-1,136817932E-1;1,398305893E-1;1,866387341E-1
6,229134960E-1;2,136611938E-2;-1,579020023E-1;5,586814880E-2;1,688514242E-1
6,279176100E-1;2,333545685E-2;-7,188558578E-2;-5,322933197E-2;9,244156409E-2
6,328975580E-1;7,043898106E-3;-2,462911606E-2;-1,897907257E-1;1,915116953E-1
6,379004750E-1;1,768982410E-2;-1,756167412E-2;-2,943906784E-1;2,954440959E-1
6,429033920E-1;9,665966034E-3;2,356052399E-3;-3,722009659E-1;3,723339105E-1
6,479063080E-1;1,807427406E-2;5,177927017E-2;-4,140462875E-1;4,176626634E-1
6,529231830E-1;3,061169386E-2;8,995509148E-2;-3,845930099E-1;3,961575161E-1
6,579268290E-1;6,662148237E-2;7,650899887E-2;-4,079084396E-1;4,203347998E-1
6,629304750E-1;3,347021341E-2;1,210393906E-1;-4,431324005E-1;4,605834492E-1
6,679341210E-1;-6,328070164E-2;1,638312340E-1;-4,593124390E-1;4,917448902E-1
6,729561000E-1;-1,250823140E-1;1,789498329E-1;-4,732236862E-1;5,211614771E-1
6,779606830E-1;-1,444805264E-1;1,641011238E-1;-4,349288940E-1;4,867925063E-1
6,829651620E-1;-1,669241190E-1;1,575257778E-1;-3,448591232E-1;4,142533609E-1
6,879697460E-1;-2,498422265E-1;1,612563133E-1;-2,390375137E-1;3,815280720E-1
6,929766730E-1;-2,814926505E-1;1,868689060E-1;-1,223125458E-1;3,593305709E-1
6,979813080E-1;-3,245085776E-1;2,575705051E-1;-1,608753204E-2;4,146169205E-1
7,029859960E-1;-3,533149362E-1;3,183176517E-1;8,207416534E-2;4,825906548E-1
7,079906310E-1;-4,090690911E-1;3,333141804E-1;1,223821640E-1;5,416763408E-1
7,129883920E-1;-4,346680641E-1;3,430085182E-1;1,457757950E-1;5,725746693E-1
7,179927140E-1;-4,063075781E-1;3,189017773E-1;1,833038330E-1;5,480734319E-1
7,229970370E-1;-3,478554785E-1;2,827053070E-1;1,208267212E-1;4,642465090E-1
7,280013600E-1;-3,236198127E-1;2,083969116E-1;6,370735168E-2;3,901508460E-1
7,330056830E-1;-2,715952694E-1;1,677734852E-1;3,085041046E-2;3,207236825E-1
7,380100060E-1;-3,036125600E-1;1,181445122E-1;2,909851074E-2;3,270862817E-1
7,430143810E-1;-2,952463925E-1;1,072120667E-1;5,342102051E-2;3,186199381E-1
7,480186520E-1;-1,823524833E-1;8,709692955E-2;1,060066223E-1;2,282010238E-1
7,530164640E-1;-1,009921134E-1;3,882217407E-2;1,415071487E-1;1,781315281E-1
7,580204750E-1;-2,987599373E-2;-3,031325340E-2;1,553125381E-1;1,610386688E-1
7,630244330E-1;5,228433013E-2;-7,503867149E-2;1,689891815E-1;1,921504537E-1
7,680283920E-1;1,359494925E-1;-1,267991066E-1;2,040081024E-1;2,760064923E-1
7,730250580E-1;1,899265051E-1;-1,592397690E-1;2,340106964E-1;3,408671110E-1
7,780286520E-1;2,098412514E-1;-1,846542358E-1;2,614822388E-1;3,827577547E-1
7,830322980E-1;2,273248434E-1;-2,102422714E-1;2,888431549E-1;4,234486572E-1
7,880359440E-1;2,735741436E-1;-2,008402348E-1;3,328447342E-1;4,753580009E-1
7,930417770E-1;2,796210051E-1;-2,212512493E-1;3,459310532E-1;4,967980629E-1
7,980454750E-1;2,576873302E-1;-2,568290234E-1;3,045663834E-1;4,744729595E-1
8,030492250E-1;2,294013351E-1;-2,884237766E-1;2,495803833E-1;4,450883229E-1
8,080529750E-1;2,709689140E-1;-2,683913708E-1;2,523145676E-1;4,572971914E-1
8,130631830E-1;2,110230029E-1;-2,304956913E-1;2,719268799E-1;4,142501653E-1
8,180672460E-1;1,598540992E-1;-1,845076084E-1;2,417917252E-1;3,435980631E-1
8,230713080E-1;1,337632686E-1;-1,373298168E-1;1,907529831E-1;2,704418443E-1
8,280753710E-1;1,131523103E-1;-1,336584091E-1;1,188640594E-1;2,116522626E-1
8,330771940E-1;1,049008220E-1;-1,536149979E-1;1,904201508E-2;1,869875621E-1
